"planner","domain","problem","timesols","values"
"lprpgp","transport","015",,
"lprpgp","transport","016",,
"lprpgp","transport","017",,
"lprpgp","transport","018",,
"lprpgp","transport","019",,
"madagascar","transport","000",,
"madagascar","transport","001",,
"madagascar","transport","002",,
"madagascar","transport","003",,
"madagascar","transport","004",,
"madagascar","transport","005",,
"madagascar","transport","006",,
"madagascar","transport","007",,
"madagascar","transport","008",,
"madagascar","transport","009",,
"madagascar","transport","010",,
"madagascar","transport","011",,
"madagascar","transport","012",,
"madagascar","transport","013",,
"madagascar","transport","014",,
"madagascar","transport","015",,
"madagascar","transport","016",,
"madagascar","transport","017",,
"madagascar","transport","018",,
"madagascar","transport","019",,
"madagascar-p","transport","000","372","2707.0"
"madagascar-p","transport","001",,
"madagascar-p","transport","002",,
"madagascar-p","transport","003","12","11720.0"
"madagascar-p","transport","004",,
"madagascar-p","transport","005",,
"madagascar-p","transport","006",,
"madagascar-p","transport","007",,
"madagascar-p","transport","008",,
"madagascar-p","transport","009",,
"madagascar-p","transport","010",,
"madagascar-p","transport","011",,
"madagascar-p","transport","012",,
"madagascar-p","transport","013",,
"madagascar-p","transport","014",,
"madagascar-p","transport","015",,
"madagascar-p","transport","016",,
"madagascar-p","transport","017",,
"madagascar-p","transport","018",,
"madagascar-p","transport","019",,
"popf2","transport","000",,
"popf2","transport","001",,
"popf2","transport","002",,
"popf2","transport","003",,
"popf2","transport","004",,
"popf2","transport","005",,
"popf2","transport","006",,
"popf2","transport","007",,
"popf2","transport","008",,
"popf2","transport","009",,
"popf2","transport","010",,
"popf2","transport","011",,
"popf2","transport","012",,
"popf2","transport","013",,
"popf2","transport","014",,
"popf2","transport","015",,
"popf2","transport","016",,
"popf2","transport","017",,
"popf2","transport","018",,
"popf2","transport","019",,
"probe","transport","000","10","1960.0"
"probe","transport","001","21","2390.0"
"probe","transport","002","40","7471.0"
"probe","transport","003","6","7184.0"
"probe","transport","004","13","7814.0"
"probe","transport","005","38","8107.0"
"probe","transport","006","46","11208.0"
"probe","transport","007","25","1846.0"
"probe","transport","008","51","9599.0"
"probe","transport","009","71","11753.0"
"probe","transport","010","38","2811.0"
"probe","transport","011","32","2622.0"
"probe","transport","012","45","3390.0"
"probe","transport","013","705","14735.0"
"probe","transport","014","737","12859.0"
"probe","transport","015","785","16175.0"
"probe","transport","016","927","13376.0"
"probe","transport","017","472","8516.0"
"probe","transport","018","645","10389.0"
"probe","transport","019","645","8725.0"
"randward","transport","000","11, 18, 106","3148.0, 1790.0, 1148.0"
"randward","transport","001","15, 41, 93, 765","3774.0, 2280.0, 1703.0, 1346.0"
"randward","transport","002","106, 1208","11075.0, 5508.0"
"randward","transport","003","23","11415.0"
"randward","transport","004","84","12464.0"
"randward","transport","005",,
"randward","transport","006",,
"randward","transport","007","32, 536, 642","4507.0, 2602.0, 1813.0"
"randward","transport","008",,
"randward","transport","009",,
"randward","transport","010","43, 551","5268.0, 3098.0"
"randward","transport","011","45, 336","4731.0, 2944.0"
"randward","transport","012",,
"randward","transport","013",,
"randward","transport","014",,
"randward","transport","015",,
"randward","transport","016",,
"randward","transport","017",,
"randward","transport","018",,
"randward","transport","019",,
"roamer","transport","000","12, 21","1300.0, 1050.0"
"roamer","transport","001","10, 13, 30","1283.0, 1134.0, 996.0"
"roamer","transport","002","14","3275.0"
"roamer","transport","003","10","5841.0"
"roamer","transport","004","13","5553.0"
